InvestorsName,Count
Aruna Ganesh Ram,1
Arvind Jha,1
Ascent Capital,2
Aseem Sood,1
Ash Bhardwaj,1
Asha Jadeja Motwani & Others,1
Ashim Mehra,2
Ashish Agrawal,1
Ashish Chand,1
Ashish Dev Kapur,1
Ashish Dhawan,1
Ashish Goenka & Others,1
Ashish Gupta,6
Ashish Hemrajani,2
Ashish Jhalani,1
Ashish Kashyap,1
Ashish Lakhanpal,1
Ashish Mahajan,1
Ashish Tiwari,1
Ashish Todi,1
Ashish Tulsian,1
Ashneer Grover,1
Ashok Agarwal,1
Ashok Goel (Promoter),1
Ashutosh Lawania,2
Ashvin Chadha,5
Asia Pacific Internet Group,1
Asian Healthcare Fund,1
Ask Pravi,1
Askme,1
Asp Consulting,1
Aspada,2
Aspada Advisors,1
Aspada Investment Advisors,2
Aspada Investments,1
Aspada Ventures,1
Aspire Systems,1
Asset Management (Asia) Ltd,1
Astarc Ventures,4
Astarc Ventures & Others,1
Asuka,1
Asuka Holdings,2
Atul Goel,1
Atul Ingle,1
Atul Jain,1
Atul Jalan,2
Atul Nishar,3
Atul Phadnis,1
Atulya Mittal,1
Augment Ventures,2
August Capital Partners,1
Avalon Ventures,1
Avg Group,1
Avnish Mehra,1
Avtar Monga,1
Axan Venture,1
Axiata Digital,1
Axilor,1
Axilor Partners,1
Axilor Ventures,11
Axis Bank,1
Axis Capital,2
Axis Capital & Others,1
Axon Partners,1
Ayesha Takia Azmi,1
Azmul Haque,1
B Capital Group,1
B M Gupta,1
B S Nagesh,1
Badal Malick,1
Baillie Gifford,1
Balaji Prabhakar,1
Balamurugan Mani,1
Balasubramanian Krishnamurthy,1
Bank To The Future And Funders Club,1
Barkawi Holdings Gmbh,2
Batlivala & Karani Securities,2
Bc Prabhakar,1
Bccl,1
Bedrock Ventures,3
Beenext,16
Beenext Ventures,2
Beenextan Investment Fund,1
Beenos,7
Beenos Asia,1
Beerud Sheth And Ravi Mantha,1
Bennett,3
Bennett Coleman & Co. Ltd,1
Benori Ventures Llp,1
Berggruen Holdings,1
Bertelsmann India,3
Bertelsmann India Investments,4
Bertelsmann India Investments Norwest Venture Partners,1
Bessemer Venture,1
Bessemer Venture Partner,1
Bessemer Venture Partners,14
Bessemer Ventures,2
Best Foodworks,1
Betonindia Technology Pvt Ltd,1
Bhanu Vikram Parsotam,1
Bharanidharan Viswanathan,1
Bharat Gupta,1
Bharat Kedia,1
Bharat Sheth,1
Bharat Vijay,1
Bharti Enterprises,1
Bhavdeep Reddy,1
Bhavin Turakhia,1
Bhavish Aggarwal,3
Bhupen Shah,1
Bhupen Shah & Others,1
Bhupender Singh,1
Big Data Investments B.V,1
Bijou Kurien,2
Binny Bansal,9
Bitchemy Ventures,1
Bitkemy Ventures,1
Biz Stone,2
Bizreach,1
Blackjag Partners,1
Blacksoil,1
Blacksoil Capital Pvt Ltd,1
Blacksoil Capital Pvt. Ltd,3
Blackstone Valley Group,1
Blinc Advisors,1
Blip Initiatives,1
Blockchain Ecosystem Global Advisors,1
Blue Cloud Ventures,1
Blue Fog Capital,1
Blue Orchard,1
Blume Ventures,41
Blume Ventures & Ivycap Ventures,1
Blume Ventures & Other Unnamed Investors,1
Blume Ventures & Others,3
Blume Ventures & Vaibhav Domkundwar,1
Blume Ventures And Ujama,1
Bobby Reddy,1
Bodhtree Consulting Limited,1
Boman Irani,1
Bookmyshow,1
Boost Vc,1
Brahmax Ventures,1
Brand Capital,13
Bravia Capital,1
Bren Corporation,1
Brian Acton,1
Brick Eagle,1
Brigade Innovations Llp,1
Broadbean Capital Services,1
Bs Nagesh,1
Bunny Bansal & Other Investors,1
Bvr Mohan Reddy,1
Bytedance,1
C31 Ventures,1
Ca Media Lp,1
Calcutta Angel Network,1
Calcutta Angels,4
Calcutta Angels Network,2
Calcutta Angels Network (Can),1
Cameron Jones,1
Canaan Partners,1
Cao Yibin,1
Capitalg,1
Capricorn Investment And Ifc,1
Capricorn Investment Group,2
Careernet Consulting Pvt. Ltd,1
Carlyle Group,1
Carnegie Mellon University,1
Carpediem Capital,2
Carpediem Capital & Others,1
Carrick Capital Partners,1
Cashurdrive Marketing Pvt Ltd,1
Catamaran Ventures,3
Cataraman Ventures,1
Ccavenue,1
Ccube Angels,1
Cdc Group Plc,1
Centre For Incubation & Business Acceleration (Ciba),1
Centre For Innovation Incubation And Entrepreneurship (Ciie),3
Cerracap,1
Chan Zuckerberg Initiative,1
Chanakya Hridaya,1
Chandigarh Angel Network (Can),1
Chandigarh Angels,1
Chandigarh Angels Funding,1
Chandigarh Angels Network,3
Chandigarh Angels Network (Can),1
Chandralekha Construction Pvt. Ltd,1
Chandrashekar Tallapragada,1
Chandru Badrinarayanan,1
Chatsworth Management,1
Cheetah Mobile,1
Chennai Angels,5
Cherry Tin,1
Chetan Bhagat,1
Chicago Capital Ventures,1
Chidambaram Palaniappan,1
Chip Perry,1
Chirag Nikunj Sheth & Others,1
Chryscapital,1
Cio Angel Network,3
Cio Angel Network (Can),1
Cipher-Plexus Capital Advisors & Indian Hnis,1
Cisco Investments,1
Cisco Ventures,1
Clairvest Group,1
Clsa Capital Partners Aria Iv Funds,1
Cmyk Health Boutique Pvt Ltd & Other Individual Investors,1
Coatue Management,1
Cocreate Ventures,1
Cogent E Services,1
Coleman And Co. Ltd (Bccl),1
Coleman And Company Ltd,2
Collaborative Licensing Ventures Llp,1
Commonfloor,1
Concur Technologies,1
Consortium Of Angel Investors,1
Constellation Technology Ventures (Exelon Corporation),1
Contrarian Capital,1
Contrarian Capital India Partners,1
Contrarian Vriddhi Fund,1
Corvus Ventures,2
Cota Capital,1
Cp Bothra,1
Creation Investments Capital Management,1
Cross Border Angels,1
Cross Border Angels & Experts,2
Cross Border Angels & Others,1
Crv,1
Csc Upshot & Angel Investors,1
Ctrip.Com International Ltd,1
Curefit,1
Currae Healthtech Fund,3
Cyber Carrier,1
Cyber Carrier Cl,1
Cyber Carrier Vc,1
Cyberagent Ventures,1
Da-Iict,1
Dah Beteiligungs Gmbh,1
Dalip Pathak,1
Daljit Singh,2
Daman Soni,1
Dangold Investment Corp,1
Darius Pandole,1
Daud Ali,1
Daud Ali And Others,1
Deep Kalra,2
Deep Kalra & Others,1
Deepak Chokhani,1
Deepak Ghaisas,1
Deepak Gupta,1
Deepak Gurnani,1
Deepak Jain,1
Deepak Kulkarni,1
Deepak Nathani,3
Deepak Natraj,1
Deepak Shahdadpuri,1
Deepak Sharma,1
Deepak Singh,1
Deepinder Goyal,2
Delhivery,4
Delta Partners,1
Dena Co,1
Deobrat Singh,1
Deshpande Foundation,1
Deutsche Telekom Strategic Investments & Others,1
Deutsche Telekom Strategic Investments (Dtsi),1
Devdeep Singh,1
Development Finance Institution Belgian Investment Company,1
Devendra Rane,1
Devendra Reddy,1
Devesh Rai G,1
Devesh Sachdev,1
Devidas Desai,1
Devry Inc,1
Dewan Housing Finance Corp,1
Dewang Neralla,1
Dexter Angel Circle,1
Dg Ventures India,1
Dheerag Jain,1
Dheeraj Jain,5
Dheeraj Jain & Other Angel Investors,1
Dheeraj Jain & Others,1
Dheeraj Mehta & Others,1
Dheeraj Pandey,1
Dhi Group Inc,1
Dhiraj Rajaram,1
Dhruv Chitgopekar,1
Diaz Nesamoney,1
Didi Kuaidi,2
Digital Currency Group,1
Digital Financial Service Lab,1
Digital Garage,5
Digital Garage Inc,1
Dileep Bhatt,1
Dileep Nath,1
Dinesh Agarwal,4
Dinesh Kundu & Others,1
Dinesh Mittal,1
Dinesh R. Challa,1
Dino Morea,2
Divyesh Shah,1
Dmg Information,1
Dmg Information Asia Pacific,1
Doreswamy Nandkishore,1
Dr David Cheriton,1
Dr Faraz Naqvi,1
Dr Mushtaq Shah,1
Dr Nandish Domlur,1
Dr Paresh Doshi,1
Dr Ramesh Ayyala,1
Dr V Ravinder,1
Dr. Abhishek Pandey,1
Dr. Aniruddha Malpani,2
Dr. Aniruddha Malpani Manish Gupta,1
Dr. Apoorv Ranjan Sharma,2
Dr. Goutam Challagalla,1
Dr. Pooja Gandhi,1
Dr. Pramath Raj Sinha,1
Dr. Prasad Kaipa,1
Dr. Rameshwar Kumar,1
Dr. Ranjan Pai,1
Dr. Ritesh Malik,2
Dr. Sridhar Ramaswamy,1
Dragoneer Investment,2
Dragoneer Investment Group,1
Draper Associates,1
Draper Fisher Jurvetson,1
Draphant Consultants,1
Dream Incubator,1
Dsg Consumer Partners,10
Dsg Consumer Partners And Venture Nursery,1
Dst Global,3
Dtdc Express Ltd,1
Dunamis Ventures Pte Ltd,2
Dutch Government Fund,1
E.On,1
E.Ventures,2
Eagle10 Ventures,1
Earlsfield Capital,3
East Ventures & Others,1
Ebay,1
Econtext Asia,1
Edbi,1
Edelweiss Financial Services,1
Edelweiss Private Equity,3
Eduardo Saverin,1
