InvestorsName,Count
Leapfrog Investments,1
Lemelson Foundation,1
Lensbridge Capital,1
Leo Wang Sangeeth Ram,1
Leon Seynave,1
Letsventure,17
Letsventure Investors,1
LetâS Venture,1
Lg Chandrasekhar,1
Lgt Group,1
Li Jian,1
Li Tao,1
Liberty Media,1
Life.Sreda,1
Lightbox,1
Lightbox Expansion Fund,1
Lightbox Ventures,5
Lightbox Ventures And Others,1
Lightspeed India,2
Lightspeed India Partners,4
Lightspeed Us,1
Lightspeed Venture Partners,12
Lightspeed Venture Partners India,1
Lightspeed Ventures,5
Ligthbox Ventures Ii,1
Likemind Ventures,1
Lion Ventures,1
Lionrock Capital,1
Lip-Bu Tan,1
Littlerock,1
Ln Buddharaju,1
Logtally,1
Lohia Group,1
Lok Capital,1
Lomesh Agarwal,1
Lothal Angel Ventures,1
Low Carbon Enterprise Fund,1
Lumina Datamatics,1
Lumis Partners,2
Luxasia Group,1
Lv Prasad,1
LâOccitane,2
M & S Partners,1
M George Oommen,1
M&S Partners,8
M&S Partners & Others,1
M&S Partners Pte. Ltd,1
M&Y Partners,1
Madhankumar Madathupalayam,1
Madhukar Gangadi,1
Madhusudan E,1
Madhusudhan Jujare & Others,1
Mahalingam K,1
Mahavir Pratap Sharma,3
Mahavir Sharma,1
Mahendra Doshi,1
Mahendra Patel,1
Mahesh Murthy,2
Mahesh Parasuraman,1
Mahesh Pratapneni,1
Maheshwari Investments Pvt Ltd,1
Mahindra And Mahindra Financial Services,1
Mahindra Holidays & Resorts India Ltd,1
Mahindra Partners,1
Mahindra Univeg,1
Maiden Lane Ventures,1
Makemytrip,3
Makemytrip Innovation Fund,1
Malini Patel,1
Mall Industries Development Bank Of India (Sidbi),1
Malvinder And Shivinder Singh,1
Mamoru Taniya,1
Man Capital,1
Mandeep Singh,1
Mangrove Capital Partners,1
Mangroves Capital Partners,1
Manickam Mahalingam,1
Maninder Gulati,2
Manipal Education And Medical Group (Memg),1
Manipal Global Education Services,2
Manipal Group,1
Manish Dhingra,3
Manish Dugar,1
Manish Gandhi,1
Manish Gupta,1
Manish Kheterpal,3
Manish Maheshwari,1
Manish Prasad,1
Manish Shah,1
Manish Singhal,2
Manish Vij,2
Manisha Gupta,1
Manoj Varghese,2
Manpreet Singh,1
Mantra Ventures,1
Manvinder Singh Banga,1
Mape Advisory,1
Mape Advisory Group,3
Maple Capital Advisors,1
Mapmyindia,1
March Capital,1
Marico Innovation Foundation (Mif),1
Mariwala Family,1
Mark Mobius & 9 Other Angel Investors,1
Mastercard,1
Mathew Cyriac,2
Mato Peric,2
Mato Peric & Others,1
Matrix Partners,18
Matrix Partners India,7
Matt Glickman,1
Matt Mullenweg,1
Maverick Capital,1
Maverick Capital Ventures,2
Max Levchin,1
Max Ventures And Industries,1
Mayank Bhangdia,1
Mayank Mittal & Others,1
Mayank Shah,1
Mayank Singhal,2
Mayank Singhal And Others,1
Mayfield,2
Mayfield India,6
Mayfield India Ii Management Ltd,1
Mayfield Ventures,5
Mcube Capital Advisors Pvt Ltd,1
Mcube8,1
Medi Assist,1
Mediatek,1
Mediatek Inc,1
Meet Kanodia,1
Meher Roy,1
Mekin Maheshwar,1
Mekin Maheshwari,4
Menterra Social Impact Fund,2
Meraevents,1
Mercury Fund,1
Merittrac,1
Meru Capital,1
Michael & Susan Dell Foundation,5
Michael And Susan Dell Foundation,2
Michael Blakey,1
Michael Carlos,1
Michael Herzig,1
Michael Marks,1
Micromax,1
Micromax Informatics,4
Micromax Informatics Ltd,1
Microsoft,1
Microsoft Ventures,1
Mike Galgon,2
Mike Shah,1
Milind Chaudhary,1
Milind Sarwate,1
Milliways Ventures,1
Mirah Hospitality,1
Mistletoe,2
Miten Mehta,1
Mitesh Majithia,1
Mitin Patel,1
Mitsui & Co,2
Mitsui & Co & Existing Investors,1
Mj Aravind,1
Mmy Co-Founder,1
Mobikon,1
Mohammed Bin Abdul Rehman Al Khalifa,1
Mohammed Khan,1
Mohan Alexander,2
Mohan Kumar,1
Mohandas Pai,5
Mohandas Pai & Others,2
Mohandas Pai. Pallav Nadhani,1
Mohit Agarwal,1
Mohit Goel,2
Mohit Gulati,1
Mohit Gupta,1
Mohit Joshi & Others,1
Mohit Lalvani,1
Mohit Satyan,1
Mohit Satyanand,1
Mohit Satyanand & Others,1
Mohit Saxena,3
Mohit Sharma,1
Mohit Srivastav,1
Mohr Davidow Ventures,1
Moksh Sports Ventures,1
Momagic Technologies,2
Morgan Stanley,1
Mount Nathan Advisors,2
Mount Nathan Advisors Pte Ltd,1
Mountain Pine Capital,1
Mousse Partners,2
Mr. Praveen Someshwar,1
Mr. Sudhir & Ms. Shalini Sethi,1
Mudit Saxena,1
Mukesh Bansal,1
Mukesh Kumar Gupta,1
Mukul Singhal,2
Multiple Investors,1
Multiple Investors Through Ten Minute Million Competition,4
Multiples Alternate Asset Management,1
Mumbai Angels,17
Mumbai Angels & Group Of Other Investors,1
Mumbai Angels & Other Angel Investors,1
Mumbai Angels Mape Advisory Group,1
Mumbai Angels Network,1
Munish Jauhar,1
Murali Nair,1
Murugappa Group,1
Mustafa Patni,1
Mustafa Wajid,1
Myntra/Livspace Founders,1
N Squared Management Llc,1
N.S. Raghavan Centre For Entrepreneurial Learning,1
Nagaraja Prakasam,1
Nagendra Chaudhary,1
Nagendra Prasad Bhanuprakash,1
Nahata Family,1
Nalin Jain,1
Nalin Jain & Other Angel Investors,1
Naman Sarawagi,1
Nanadan Nilekani,1
Nandan Nilekani,10
Nandan NilekaniâS Nrjn Trust,1
Nandkumar Rane,1
Nandu Nandkishore,1
Nanoholdings,1
Narayan Ramachandran,2
Narayan Seshadri,1
Narendra Karnavat,1
Naresh Ravindranath,1
Narottam Thudi,1
Nasper,1
Naspers,1
Natarajan Iyer,1
National Science And Technology Entrepreneurship Development Board,1
Native Angels Network,1
Naturals Salon Chain,1
Naveen Arya,1
Naveen Gupta,1
Naveen Tewari,3
Naveen Tiwari,2
Navjot Saini,1
Naya Ventures,1
Nazara Technologies Pvt Ltd,1
Nb Ventures,3
Nea,3
Nea Ventures,1
Neelesh Bhatnagar,1
Neeraj Aggarwal,1
Neeraj Arora,3
Neeraj Goenka,1
Neeraj Jawalkar,1
Neha Vats,1
Nelstone Ventures,1
Neoplux Technology Fund,1
Neoteric Infomatique Limited,1
Ness Wadia,1
Net1 Ueps Technologies Inc,1
Network 18,1
New Enterprise Associates,4
New Enterprise Associates (Nea),2
New India Investment Corporation,1
Newbie Promoter Pvt Ltd,1
Newbie Promoters,1
Next Orbit Ventures Fund,1
Nexus India Capital Advisors,1
Nexus Venture Partners,25
Nexus Venture Partners And Arena Ventures,1
Nexus Ventures,1
Ngp,1
Nibhrant Shah,1
Nick Adams,1
Nick Haulkoury,1
Nicolas Braithwaite,1
Nihon Kotsu,1
Nihon Kotsu Co,1
Nikhil Arora,1
Nikhil Bagri,1
Nikhil Golcha,1
Nikhil Vora,2
Nikhil Vora & Others,1
Nikunj Jain,2
Nikunj Jhaveri,1
Nilender Chauhan,1
Nilesh Shah,1
Niloufer Dundh,1
Nimit Panigrahi,2
Nimitt Desai & Others,1
Nimmagadda Prasad,1
Ninestarter,1
Nipun Dureja,1
Niraj Singh,3
Nirav Choksi & Others,1
Nirmal Singh,1
Nirupa Shankar,1
Nirvana Digital India Fund,2
Nirvana Digital Investment Holding,1
Nirvana Digital Investment Holding Co Ltd,1
Nirvana Venture Advisors,1
Nisha Sharma,1
Nishant Rao,1
Nitesh Pant,1
Nitin Agarwal,1
Nitin Garg,1
Nitin Passi,1
Nitin Saluja,1
Nitin Singhal & Others,1
Nitish Singh,1
Nobel House,1
Nokia Growth Partners,1
North Base Media,2
Norwest Venture Partners,15
Noshir Kaka,1
Not Disclosed,1
Now Capital,1
Nsi Infinium Global Pvt. Ltd,1
Nspira,1
Ntt Finance,1
Ny Based Hedge Fund,1
Nyca Partners And Thomvest Ventures,1
Oikocredit,1
Ojas Ventures,1
Ola,1
Oliphabs Capital,1
Oliphans Capital,3
Om Chaudhry,1
Omidiyar Network,1
Omidyar Network,16
Omidyar Network And Kae Capital,1
Omidyar Networks,2
Omnivore Capital,1
Omnivore Partners,2
One97 Communication Ltd,1
One97 Communications,1
Ontario Teachersâ Pension Plan & Others,1
Oranda Global & Others,1
Orbimed,1
Orios Venture Partner,1
Orios Venture Partners,12
Orios Ventures Partners,1
Oswal Techno Ventures Llp,1
Others,2
Others From Letsventure,1
Outbox Ventures,4
P39 Capital,1
P39 Capital & Others,1
Pablo Van Den Bosch & Others,1
Palaash Ventures,2
Palash Jain,1
Pallab Chatterjee & Others,1
Pallav Nadhani,4
Palred Technologies Ltd,1
Pameela P,1
Pankaj Gupta,2
Pankaj Kapoor,1
Pankaj Rungta,1
Pankaj Tripathi,1
Paragon Partners,1
Paragon Trust,1
Parampara Capital,2
Parampara Early Stage Opportunities Fund & Others,1
Parikshit Dar,1
Parth Jindal,1
Parvesh Bareja,1
Patni Family Office,1
Paul Bucche,1
Paul Roy,1
Paula Ravindra Mariwala,1
Pavan Bakeri,1
Pavan Ongole,3
Pawan Borle,2
Pawan Munjal,1
Payal Syal,1
Paytm,8
Paytm & Existing Investors,1
Paytm (One97 Communications),2
Payu,2
Pearson Learning Fund,1
Peepul Capital,2
Peesh Venture Capital,1
People Group (Shaadi.Com),1
Peter Kabel & Others,1
Peyush Bansal,1
Phanindra Sama,8
Philippe Bouchet,1
Pi Ventures,3
Pine Brook,1
Pittie Group,1
Pix Vine Capital,1
Piyush Jain,1
Piyush Shah,2
Pk Gulati & Others,1
Plug And Play Tech Center,1
Poshika Financial Ecosystem,1
Powai Lake Ventures,8
Powerhouse Ventures,4
Powerhouse Ventures & Others,1
Powerhouse Ventures (Usa),1
Prabhakar Mr & Others,1
Prabhat Aggarwal,1
Pradeep Dhobale,1
Pradeep Guha,1
Pradeep K Jaisingh,1
Pradeep Mirani,1
Pradeep Reddy Kamasan,1
Pradip Dadha Group,1
Pradyumna Dalmia,2
Prahlad Rao,1
Prakhar Bumb,1
Pramod Bhasin,4
Pranav Dedhia,1
Pranav Pai,1
Pranay Adhvaryu,1
Pranay Chulet,1
Pranay Jivrajka,2
Prantik Dasgupta,1
Prashant Gooty,1
Prashant Malik,1
Prashant Puri,1
Prashant Tandon,3
Prashanth Ranganathan,1
Pratik Seal,1
Pratik Singhi,1
Pratyush Prasanna,1
Praveen Dubey,1
Praveen Saini,1
Praveen Sinha,1
Pravega Ventures,2
Pravin Agarwala & Others,1
Pravin Dongre,1
Pravin Gandhi,1
Pravin Khandelwal,1
Premji Invest,1
Premji Invest & Mayfield Fund,1
Premjiinvest,2
Presidio Ventures,1
Prijit Debnath,1
Prime Capital Markets Ltd,1
Prime Venture Partners,6
Priti Padhy,1
Private Sector Banks (Debt Funding),1
Procam International Pvt. Ltd,1
Prof. Ram Kumar Kakani & Others,1
Professor Tarun Khanna,1
Promatus Group,1
Prototyze,1
Pulkit Jain,1
Puneet Agarwal,1
Puneet Bhatia & Others,1
Puneet Dalmia,3
Puneet Gupta,2
Puneet Motihar,1
Punit Goyal,1
Punit Soni,3
Purpletalk Inc,1
Puru Vashishtha,1
Purvi Capital,3
Purvi Ventures,2
Purvi Ventures & Others,1
Puthen & Cole,1
Pv Sahad,1
Pv Srinivasan,1
Qasar Younis,1
Qprize From Qualcomm Ventures,1
Quadria Capital Advisors,1
Quake Capital,1
Qualcomm,2
Qualcomm (Through Qprize Contest),1
Qualcomm Venture,1
Qualcomm Ventures,8
Qualgro,2
Quarizon,6
Quarizon Consultancy Services Llp,1
Quikr,1
Quilvest,1
Quintillion Media,3
Quona Capital,1
R Balachandar,1
R M Picture Company Pvt. Ltd,1
R Natarajan,1
R Ramaraj,2
R. Natarajan,1
R. Satya Narayanan,1
R.S Sharma,1
Raay Global Investments,1
Radhakrishnan Natarajan & Others,1
Raghav Bahl,3
Raghu Khanna,1
Raghu Vohra,1
Raghunandan G,6
Rahul Agarwal,1
Rahul Garg,1
Rahul Gautam & Others,1
Rahul Gupta,1
Rahul Kayan,1
Rahul Khanna,1
Rahul Khanna & Others,1
Rahul Kirloskar,1
Rahul Mehta,1
Rahul Singh,1
Rainbow Digital Services Pvt. Ltd,1
Rainmaker Ventures,2
Rainmatter,4
Raj Gala Shah,1
Raj Singh Bhandal,1
Raj Y,1
Rajan Anandan,24
Rajan Anandan & Other Angel Investors,1
Rajan Pandhare,1
Rajasthan Angel Innovators Network,2
Rajasthan Angel Investor Network & Others,1
Rajasthan Venture Capital Fund,1
Rajat Gupta & Others,1
Rajat Jain,1
Rajat Malhotra,1
Rajeev Agrawal,1
Rajeev Menon,1
Rajeev Mudumba,1
Rajeev Saraf,1
Rajendra Gogri,1
Rajesh Aggarwal,1
Rajesh Arora,1
Rajesh Balpande,1
Rajesh Bhatia,1
Rajesh Magow,1
Rajesh Ramaiah,1
Rajesh Ranavat,1
Rajesh Sawheny,1
Rajesh Sawhney,6
Rajesh Yabaji,1
Rajesh Yohannan,2
Rajiv C Mody,1
Rajiv Lunkad,1
Rajiv Mehta,3
Rajiv Mody,1
Rajiv Nayan,1
Rajiv Solanki,1
Rajnish Kumar,1
Rajnish Sinha,1
Raju Reddy,1
Rajul Garg,7
Rajul Garg & Others,1
Rajul Jain,1
Rakesh Agrawal,1
Rakesh And Rajesh Jhunjhunwala,1
Rakesh Desai,1
Rakesh Gakhar,1
Rakesh Gupta,1
Rakesh Malhotra,1
Rakesh Mathur,2
Rakesh Patel,1
Ram Kumar Kakani,2
Ram Shriram,1
Rama Krishna Reddy,1
Ramakant Sharma,2
Raman Roy,2
Ramana Thumu,1
Ramasubramaniam B,1
Ramesh Jogani,1
Ramesh Kavediya,1
Ranjan Mahtani,1
Ranjan Pai,2
Ranjan Sharma,1
Ranjit Singh,1
Rannvijay Singh,1
Rata Tata,1
Ratan Tata,30
Ratheesh Raveendran,1
Rattan Chadha,1
Ravi Adusumalli,1
Ravi Agarwal,1
Ravi Garikipati,3
Ravi Garkipati,1
Ravi Gururaj,3
Ravi Jain,1
Ravi Jaipuria & Others,1
Ravi Krishnamurthy,1
Ravi Linganuri,1
Ravi Machani,1
Ravi Nigam & Others,1
Ravi Sampat,1
Ravi Saxena,1
Ravi Trivedi,1
Rb International,1
Rb Investments,9
Rb Investments & Existing Investors,1
Rb Investments Pte Ltd,1
Real Time Ventures,1
Rebright Partners,6
Recruit Holdings,1
Redbright Partners,1
Redcliffe Capital,2
Reema Kagati,1
Reliance Capital,1
Reliance Capital Venture,1
Reliance Corporate Advisory Services Ltd,1
Reliance Entertainment,1
Renaud Laplanche,1
Renuka Ramanath,1
Responsability Investments,1
Rianta Capital,2
Ribbit Capital,2
Richard S. Braddock,1
Riddhesh Gandhi & Others,1
Riju Gupta,1
Rimpal Chawla,1
Ripplewave,1
Riqueza Capital,1
Risabh Gupta,1
Rise India,1
Rishi Das,1
Rishi Gupta & Others,1
Rishi Khiani,1
Rishi Mandawat,1
Rishi Parti,2
Rishi Srivastava,1
Rishi Vasudev,1
Ritesh Dwivedy,2
Ritesh Mehta,1
Ritesh Veera,1
Ritu Kapur,1
Rn Agarwal,1
Rnt Capital,1
Rob Chandra,1
Robert Winters & Others,1
Robin Utthappa,1
Rocket Internet,3
Rocket Internet Ag,1
Rocket Internet Ag & Others,1
Rocketship,2
Rohan Ajila,1
Rohan Angrish,1
Rohan Desai And Paras Patel,1
Rohan Malhotra,2
Rohit,1
Rohit Bansal,12
Rohit Bhatia,1
Rohit Chokhani,1
Rohit Choudhary,1
Rohit Goel,1
Rohit Jain,2
Rohit Ma,1
Rohit Narang,1
Rohit Sethi,1
Rohitash Gupta,1
Rohto Pharmaceutical,1
Romulus Capital,1
Ronnie Screwvala,1
Roopa Nath,1
Roopak Saluja,1
Roopak Taneja,1
Rothenberg Ventures,1
Roundglass Partners,10
Roy Kwan,1
Rsi Fund,1
Rtp-Hc,1
Ru-Net,4
Ru-Net Technology Partners,1
Ruchi Narain,1
Ruchi Sanghvi & Others,1
Ruchir Arora & Others,1
Ruchirans Jaipuria,1
Rudy Gopalakrishnan,2
Runet And Sofina,1
Runet South Asia,1
Russian Venture Capital Fund Ru-Net,1
Rvcf And Sidbi,1
Rwe,1
S Chand,1
S Chand & Co,1
S Chand And Co Pvt Ltd,2
S S Mukherji & Others,1
S Somasegar,1
S. Somasegar & Others,1
S. Xavier Britto,1
S.D. Shibulal,1
S.Gopalakrishnan,1
Saama Capital,7
Saavn,1
Sachin And Binny Bansal,2
Sachin Bansal,5
Sachin Bansal & Binny Bansal,1
Sachin Bhatia,3
Sachin Dalal,1
Sachin Khandelwal And Others,1
Sachin Tendulkar,1
Sadashiva Nt,1
Saha Fund,3
Sahil Barua,3
Saif Partners,44
Saif Partners & Others,1
Saif Partners And Others,1
Sailender Solanki,1
Saina Nehwal,1
Saket Dhankar,1
Salesforce Ventures,1
Salil Donde,1
Samar Singla,1
Sameer Gupta,1
Sameer Koticha,1
Sameer Narayan & Others,1
Samir Bangara,2
Samir Shah,2
Samridhi Fund,1
Sandeep Acharya & Others,1
Sandeep Aggarwal,3
Sandeep Dama & Others,1
Sandeep Gupta,1
Sandeep Mathur,1
Sandeep Pangal,1
Sandeep Parwal,1
Sandeep Raju,1
Sandeep Seerapu,1
Sandeep Shroff,1
Sandeep Singh,1
Sandeep Tandon,13
Sandiep Shrivatsava,1
Sands Capital,1
Sands Capital And Accel Partners,1
Sangram Singh,1
Sanjai Vohra,1
Sanjay Anandaram,1
Sanjay Bakshi,1
Sanjay Bhasin,1
Sanjay Mehta,4
Sanjay Mehta & Others,1
Sanjay Mehta & Others ( The Ten Minute Million),1
Sanjay Nath,1
Sanjay Nayar,1
Sanjay Phophaliya,1
Sanjay Sathe,1
Sanjay Sethi,1
Sanjay Venkat,1
Sanjay Verma,1
Sanjeev Kakkar,1
Sanjeev Kapoor,1
Sanjeev Mehra,1
Sanjeev Singhal,1
Sanjeev Sinha,1
Sanjiv Mittal,1
Sanjiv Rai,1
Sanjiv Rangrass,1
Sap,1
Sap.Io,1
Sar Group,1
Sarath Sura,2
Sarbvir Singh,1
Sargod Ventures,1
Sarthak And Nihit Agarwal,1
Sarva Capital,1
Sarvesh Shahra & Others,1
Sarvesh Sharma,1
Sashi Reddi,2
Sashi Reddi & Other Unnamed Investors,1
Sashi Reddy,1
Sateesh Andara & Others,1
Satish Jamdar,1
Satish Kaul,1
Satish Reddy,1
Satish Vasudeva,1
Satoshi Studios,1
Sattva Capital,1
Satveer Thakral,1
Satya D Sinha,1
Satya Muthyala,1
Satyajit Heeralal,1
Satyen Kothari,1
Saumya Tandon,1
Saurab Paruthi,1
Saurabh Arora,1
Saurabh Jain,1
Saurabh Srivastava,2
Saã¯D Business School Seed Fund,1
Sb Ventures,1
Sbi (Stand Up India Scheme),1
Sbi-Fmo Fund,1
Scadea Solutions Inc,1
Scale Ventures,1
Scale Ventures Funds,1
Scm Holdings,1
Scott Banister,1
Sd Group,1
Sd Ventures,1
Sean OâSullivan & Others,1
Seedfund,4
Seedplus,2
Seedrs Crowd Funding Platform,1
Seek Ltd & Affiliates,1
Segnel Venture,1
Segnel Ventures,1
Senovo,1
Sequoia And Kalaari Capital,1
Sequoia Capital,65
Sequoia Capital Global Equities,1
Sequoia Capital India,7
Sequoia Capital India Advisors,1
Sequoia Capital India And Omidyar Network,1
Sequoia India,15
Sf Capital Group,1
Shaan,1
Shailesh Mehta,1
Shailesh Rao,1
Shailesh Singh,1
Shailesh Viswanathan,1
Shamik Sharma,1
Shankar Mahadevan,1
Shantanu Mathur,1
Shanti Mohan,1
Shapoorji Pallonji & Co. Ltd,1
Sharad Hegde,1
Sharad Sharma,4
Sharad Sharma & 14 Others,1
Shashank Bhagat,1
Shashank Mehrotra & Others,1
Shekhar Sahu,1
Sherpa Capital,1
Sherpalo Ventures,1
Shinji Kimura,1
Shireesh Palle,1
Shiva Ashok & Other Unnamed Investors,1
Shivanandan Pare,1
Shobhit Shukla,1
Shomil Pant,1
Shopclues,1
Shrem Strategies,1
Shreyans Shah,1
Shrikant Patil,1
Shrikanth & Bharath,1
Shripad Nadkarni,2
Shrishti Sahu,1
Shruth & Smith Group,1
Shubham Gupta,1
Shuchin Bajaj,1
Shun Yoshida & Others,1
Shunwei Capital,3
Shyam Sundar R & Others,1
Sidbi Venture Capital Fund,1
Sidbi Venture Capital Limited,1
Sidbi Venture Capital Ltd,3
Siddharth Agarwal,1
Siddharth Banerjee,1
Siddharth Nautiyal,1
Siddharth Pai,1
Siddharth Parekh,1
Siddharth Patil,1
Siddhartha Gupta,1
Siddhivinayak Skyscrapers,1
Sidharth Pansari,2
Sidharth Rao,1
Sidhartha Hazarika & Others,1
Sierra Ventures,1
Signal Point Partners,1
Silicon Valley Bank,2
Silicon Valley Ventures,1
Silver Range Investments,1
Simi Pacific Pte,1
Singapore Angel Network,13
Singapore Angel Network & Aseem Vadehra,1
Singapore Angels Network,1
Singapore Angels Network & Others,1
Singapore Based Investor,1
SingtelâS Innov8,1
Singularity Holdings,1
Singularity Ventures,3
Singularity Ventures And Ravi Dhariwal,1
Sirion Labs,1
Sistema Asia Fund,3
Sixth Sense,1
Sixth Sense Ventures,3
Smile Group,1
Smile Multimedia,1
Snapdeal,2
Snow Leopard,1
Snow Leopard Technology Ventures,2
Snow Leopard Ventures,1
Social Alpha And Other Unnamed Angel Investors,1
Social+Capital,1
Sofina,4
Softbank,5
Softbank Corp,1
Softbank Group,6
Softbank Group Corp,1
Softbank Ventures Korea,2
Softbank Vision Fund,1
Soham Vencaps,1
Sol Primero,5
Solidarity Venture Capital & Others,1
Soma Capital,1
Songhyun Investment,1
Soniks Consulting,1
Sophia Investment Aps,1
Soumitra Sharma,1
Sourav Ganguly,1
Sp Vijay,1
Sparknext,1
Speridian Technologies,1
Splice Advisors,1
Springboard Ventures,1
Sprout Angels Llp,1
Sprout Capital,1
Sque Capital,2
Sreenivasa Reddy Musani,1
Sreepathy Viswanathan,1
Sreeram Iyer,1
Sreevathsa Prabhakar,1
Sri Capital,5
Srinath Batni,1
Srini Koppolu & Sidbi,1
Srini Raju,1
Srinivas Aluri,1
Srinivas Modukury,1
Srinivas Tirupati,1
Srinivasa Rao Paturi,1
Stanford Angels,3
Stanford Angels & Entrepreneurs,1
Star India Pvt Ltd,1
Star India Pvt. Ltd,1
Startup Brasil Program,1
Startup Equity Partners,1
Startupxseed Ventures,2
Startupxseed Ventures Llp,1
Steadview Capital,5
Steadview Capital And Existing Investors,1
Steelhead Ventures & Others,1
Stelcore Management Services,1
Stellaris Venture Partners,3
Steven Lurie,1
Stripes Group,1
Subba Rao Telidevara,1
Subhash Goyal,1
Subodh Gupta,1
Subramani Somasundaram,1
Subramanian Ramadorai,1
Subramanya Sv,2
Subramanya Venkat,2
Subrata Mitra,1
Sudhakar Reddy,1
Sudhir Anandarao,1
Sudhir Mallem,1
Sudhir Mehta,2
Sudhir Rao & Others,1
Suhail Rahman,1
Sujal Shah,1
Sujeet Kumar,4
Sumit Dayal And Others,1
Sumit Gandhi,1
Sumit Jain,7
Summit Media,1
Sumpoorna Group,1
Sundar Chanrai,1
Sundara Rajan,1
Sundaram Finance Holdings,1
Sundeep Sahni,1
Sundeep Singh Sahni,1
Sunergy Investors,1
Sunil Edwards,1
Sunil Goyal Ashish Gupta,1
Sunil Kalra,5
Sunil Koul,1
Sunil Maheshwari & Group Of Investors,1
Sunil Mehta,1
Sunil Munjal,2
Sunil Nikhar,1
Sunil Singh & Others,1
Sunil T V,1
Sunjay Kapur,1
Sunrise Capital Gmbh,1
Sunstone Capital,1
Suramya Gupta,1
Suresh Senapaty,1
Suresh Shankar,1
Suresh Vaswani,1
Suresh Venkat,1
Surojit Chatterjee,1
Surot Chatterjee,1
Susa Ventures,1
Sushil Kumar,1
Sushill Jiwarajka,1
Susquehanna International Group.Â  Wavemaker Partners,1
Suvo Sarkar,1
Suyash Sharma,1
Svg Media,1
Svp Fly Dubai & Others,1
Swan Angel Network,3
Swapan Rajdev,1
Swarnim Multiventures,1
Swastika,1
Swastika Co Ltd,1
Swastika Company Ltd,5
Swastika Company Pvt Ltd,1
Swastika Investmart Ltd,1
Syska Led Group,1
T V Mohandas Pai,4
T.V. Mohandas Pai,1
Ta Associates,2
Tamarind Family Private Trust,1
Tandem Capital,1
Tania Johny Palathinkal,1
Tano Capital,1
Taranjit Jaswal,1
Tarun Adlakha,1
Tarun Arora,1
Tarun Joshi,1
Tashwinder Singh,1
Tata Capital Innovation Fund,1
Taurus Value Creation,1
Taxmann,1
Tci Ventures,1
Tcs,1
Team Builder Ventures,1
Techstars,1
Techstars Ventures & Others,1
Tekne Capital Management Llc,1
Tekton Ventures,1
Telephone Corporation,1
Temasek,2
Temasek Holdings,2
Tencent,1
Tencent Holdings,3
Tennenbaum Capital Partners & Others,1
Termsheet,1
Teru Sato,1
Teruhide Sato,2
The 1947,1
The Chennai Angels,12
The Grover Trust,1
The Hr Fund,2
The Phoenix Fund,1
The Phoenix Fund And Others,1
The Saha Fund,1
The Ten Minute Million,3
Thinqbate,1
Thirtythree Investments,1
Thrive Capital,1
Tiger Global,25
Tiger Global & Other Investors,1
Tiger Global Management,14
Tim Chen,1
Timbru Ventures,1
Times Group,1
Times Group Brand Capital,1
Times Internet,9
Times Internet Ltd,3
Times Internet Ltd & One More Fund,1
Times Of India Group & Existing Investors,1
Tlabs,1
Tm Service Technology Holdings Gmbh,2
Tnn Capital & Iig,1
Tnn Capital And Others,1
To The New Ventures,1
Tolaram Inc,1
Tom Clausen,1
Toos N Daruvala,1
Torrent Group,1
Tpg Growth,2
Tr Capital,2
Tracxn,1
Tracxn Labs,13
Tracxn Labs & Others,1
Tracxn Syndicate,2
Tracxnlabs,3
Transamerica,1
Transglobal Fzc,1
Transmedia Capital,1
Traxcn Labs,1
Traxcn Labs & Others,1
Tree Line Asia,2
Trifecta Capital,9
Trinity Ventures,1
Triton Investment Advisors,1
Turning Ideas,2
Tushar Mittal,1
Tushar Singh,1
Tv Mohandas Pai,14
Tv Mohandas PaiâS Family Office,1
Tvs Automobile Solutions Ltd,3
Tvs Group,2
Tvs Motor Company,1
Tybourne Capital,2
Uber Technologies Inc,1
Uc-Rnt,1
Uc-Rnt Fund,1
Udaan Angels,2
Uday Kotak,2
Uday Punj,1
Uday Shankar,1
Udayan Goyal,1
Uk Based Group Of Angel Investors,1
Umang Kumar,2
Umang Kumar & Others,1
Umang Moondra,1
Umasankar Nistala,1
Umesh Yadav,1
Un Disclosed Investors,1
Unicorn India Ventures,5
Unicorn India Ventures & Others,1
Unicorn Venture,1
Unicorn Ventures,1
Unigrowth Inc,1
Unilazer,1
Unilazer Fund,1
Unilazer Ventures,6
Uniqorn Ventures,2
Uniqorn Ventures And Other,1
Uniqorn Ventures Fund,1
Unitus Impact Livelihoods Fund,1
Unitus Seed Fund,16
Unitus Seed Fundnarayan Ramachandran,1
Unnamed Investor,1
Unnamed Media House And Hnis,1
Unternehmertum Venture Capital,1
Upaya Social Ventures,1
Urrshila Kerkar,1
Utsav Somani,2
V Aanand R,1
V Balakrishnan,3
V. Balakrishnan,1
V. Bunty Bohra,1
V. Krishna Prasad,1
Va Sastry,1
Vaibhav Domkundwar,1
Vaibhav Doshi,1
Vaibhav Jain,1
Valiant Capital,4
Valiant Capital Partners,1
Vallabh Bhanshali,1
Valpro Capital And Existing Investors,1
Value Fund Advisors,1
Vandana Luthra,1
Vani Kola,1
Varsha Rao,1
Varun Agarwal & Others,1
Varun Aggarwal,2
Varun Ahuja,1
Varun Khanna,1
Varun Khurana,1
Vc Karthic,1
Vcommission,3
Vectr Ventures,1
Vedanta Capital,1
Vegas Tech Fund,1
Vellayan Subbiah,2
Venk,1
Venk Krishna,1
Venk Krishnan,4
Venkat Tadanki,1
