,Movie_id,genre,total_budget,counts
0,10015,0,10000000.0,3
1,10015,Drama,10000000.0,3
2,10015,Thriller,10000000.0,3
3,10023,Adventure,165000000.0,3
4,10023,Animation,165000000.0,3
5,10023,Comedy,165000000.0,3
6,10099,Action,165000000.0,3
7,10099,Adventure,165000000.0,3
8,10099,Animation,165000000.0,3
9,10454,0,220000000.0,3
10,10454,Action,220000000.0,3
11,10454,Sci-Fi,220000000.0,3
12,10617,Drama,40000000.0,3
13,10617,History,40000000.0,3
14,10617,Thriller,40000000.0,3
15,11173,Biography,25000000.0,3
16,11173,Drama,25000000.0,3
17,11173,History,25000000.0,3
18,11289,Action,170000000.0,3
19,11289,Adventure,170000000.0,3
20,11289,Sci-Fi,170000000.0,3
21,11928,Action,38000000.0,3
22,11928,Biography,38000000.0,3
23,11928,Drama,38000000.0,3
24,11971,0,100000000.0,3
25,11971,Drama,100000000.0,3
26,11971,Western,100000000.0,3
27,12164,Action,68000000.0,3
28,12164,Drama,68000000.0,3
29,12164,War,68000000.0,3
30,12560,Action,170000000.0,3
31,12560,Adventure,170000000.0,3
32,12560,Sci-Fi,170000000.0,3
33,12744,Biography,,3
34,12744,Comedy,,3
35,12744,Drama,,3
36,13277,Crime,61000000.0,3
37,13277,Drama,61000000.0,3
38,13277,Mystery,61000000.0,3
39,13310,Adventure,150000000.0,3
40,13310,Animation,150000000.0,3
41,13310,Comedy,150000000.0,3
42,13316,Comedy,17000000.0,3
43,13316,Fantasy,17000000.0,3
44,13316,Romance,17000000.0,3
45,13627,Action,30000000.0,3
46,13627,Crime,30000000.0,3
47,13627,Drama,30000000.0,3
48,14813,Biography,28000000.0,3
49,14813,Drama,28000000.0,3
50,14813,History,28000000.0,3
51,14867,0,8900000.0,3
52,14867,Drama,8900000.0,3
53,14867,Romance,8900000.0,3
54,17294,Comedy,21000000.0,3
55,17294,Drama,21000000.0,3
56,17294,Romance,21000000.0,3
57,17545,Action,25000000.0,3
58,17545,Drama,25000000.0,3
59,17545,Sport,25000000.0,3
60,18458,Action,40000000.0,3
61,18458,Biography,40000000.0,3
62,18458,Drama,40000000.0,3
63,18506,Action,58000000.0,3
64,18506,Adventure,58000000.0,3
65,18506,Comedy,58000000.0,3
66,20341,Action,170000000.0,3
67,20341,Adventure,170000000.0,3
68,20341,Drama,170000000.0,3
69,20420,0,5000000.0,3
70,20420,Comedy,5000000.0,3
71,20420,Horror,5000000.0,3
72,20709,0,1000000.0,2
73,20709,Drama,1000000.0,2
74,21411,Adventure,250000000.0,3
75,21411,Family,250000000.0,3
76,21411,Fantasy,250000000.0,3
77,21508,Crime,7000000.0,3
78,21508,Drama,7000000.0,3
79,21508,Thriller,7000000.0,3
80,21538,Biography,28000000.0,3
81,21538,Comedy,28000000.0,3
82,21538,Drama,28000000.0,3
83,21768,Drama,23000000.0,3
84,21768,Romance,23000000.0,3
85,21768,Sci-Fi,23000000.0,3
86,22401,Adventure,25000000.0,3
87,22401,Comedy,25000000.0,3
88,22401,Drama,25000000.0,3
89,22607,0,15000000.0,3
90,22607,Crime,15000000.0,3
91,22607,Drama,15000000.0,3
92,22767,0,8500000.0,2
93,22767,Drama,8500000.0,2
94,23417,0,12000000.0,3
95,23417,Biography,12000000.0,3
96,23417,Drama,12000000.0,3
97,23450,Adventure,150000000.0,3
98,23450,Drama,150000000.0,3
99,23450,Family,150000000.0,3
100,23963,Adventure,2500000.0,3
101,23963,Comedy,2500000.0,3
102,23963,Drama,2500000.0,3
103,24887,Adventure,108000000.0,3
104,24887,Drama,108000000.0,3
105,24887,Sci-Fi,108000000.0,3
106,25281,0,18000000.0,3
107,25281,Comedy,18000000.0,3
108,25281,Drama,18000000.0,3
109,25398,0,3000000.0,3
110,25398,Drama,3000000.0,3
111,25398,Romance,3000000.0,3
112,26118,Adventure,60000000.0,3
113,26118,Animation,60000000.0,3
114,26118,Family,60000000.0,3
115,26438,Action,60000000.0,3
116,26438,Comedy,60000000.0,3
117,26438,Romance,60000000.0,3
118,27783,Action,200000000.0,3
119,27783,Adventure,200000000.0,3
120,27783,Sci-Fi,200000000.0,3
121,28130,Crime,90000000.0,3
122,28130,Drama,90000000.0,3
123,28130,Mystery,90000000.0,3
124,28910,Crime,20000000.0,3
125,28910,Drama,20000000.0,3
126,28910,History,20000000.0,3
127,28919,Action,190000000.0,3
128,28919,Adventure,190000000.0,3
129,28919,Sci-Fi,190000000.0,3
130,29419,0,250000000.0,3
131,29419,Action,250000000.0,3
132,29419,Thriller,250000000.0,3
133,29441,Adventure,135000000.0,3
134,29441,Drama,135000000.0,3
135,29441,Thriller,135000000.0,3
136,29611,0,,2
137,29611,Drama,,2
138,29635,Adventure,16000000.0,3
139,29635,Comedy,16000000.0,3
140,29635,Drama,16000000.0,3
141,30114,Adventure,18000000.0,3
142,30114,Biography,18000000.0,3
143,30114,Drama,18000000.0,3
144,30146,0,8000000.0,3
145,30146,Comedy,8000000.0,3
146,30146,Drama,8000000.0,3
147,30154,0,1000000.0,2
148,30154,Drama,1000000.0,2
149,30161,Drama,15000000.0,3
150,30161,Mystery,15000000.0,3
151,30161,Sci-Fi,15000000.0,3
152,30250,0,225000000.0,3
153,30250,Adventure,225000000.0,3
154,30250,Fantasy,225000000.0,3
155,30401,Drama,100000000.0,3
156,30401,Sci-Fi,100000000.0,3
157,30401,Thriller,100000000.0,3
158,31069,Comedy,30000000.0,3
159,31069,Drama,30000000.0,3
160,31069,Music,30000000.0,3
161,31332,Action,165000000.0,3
162,31332,Adventure,165000000.0,3
163,31332,Fantasy,165000000.0,3
164,31370,0,5000000.0,3
165,31370,Comedy,5000000.0,3
166,31370,Drama,5000000.0,3
167,31592,0,13000000.0,3
168,31592,Drama,13000000.0,3
169,31592,Romance,13000000.0,3
170,31722,Drama,47000000.0,3
171,31722,Mystery,47000000.0,3
172,31722,Sci-Fi,47000000.0,3
173,32217,Adventure,150000000.0,3
174,32217,Animation,150000000.0,3
