,Word,Frequency
1017,🌮?,1
1018,#Cincodemayo2023,1
1385,Mood,1
1035,Mejores,1
1384,Celebratory,1
1020,#Mexianfood,1
1382,Restuarant,1
1031,#Pizzalover,1
1022,#Mexicanfoodlover,1
1023,#Taco,1
1379,So,1
1381,For?,1
1024,#Tacos,1
1025,#Guacamole,1
1026,#Burrito,1
1027,#Italianfoodie,1
1028,#Pizza,1
1380,Waiting,1
1032,Estos,1
1029,#Pizzatime,1
1378,Price.,1
1011,Outgrow,1
1377,Unbelievable,1
1010,Poised,1
991,Fascinating,1
992,Facts,1
993,Trend,1
994,…,1
995,🍅,1
996,Salsa,1
1389,#Design,1
998,Ketchup.,1
1376,Faves,1
1041,Recuerdos,1
999,🌽,1
1040,Coleccionar,1
1388,#Newdelhi,1
1000,Tortilla,1
1001,Chips,1
950,#Lays,1
1002,Potato,1
1003,Chips.,1
1004,🍹Margaritas,1
1005,Become,1
1006,America’S,1
1038,Pasear,1
1007,Popular,1
1008,Cocktail.,1
1009,🍹Tequila,1
1265,Viene,1
942,Wavy,1
949,Below:,1
1414,Bhature,1
857,Crisis,1
858,Meeting,1
859,Curb,1
860,Surging,1
861,Beloved,1
862,Pasta.,1
1417,Bhature?,1
1416,Place,1
864,Inflation,1
865,"8.8%,",1
866,Skyrocketed,1
867,17.5%.,1
1415,❤️❤️,1
868,Pasta’S,1
870,Spiked,1
855,Government,1
871,Well.,1
872,Recent,1
873,Report,1
874,Average,1
1413,!!,1
876,Spaghetti,1
877,Macaroni,1
878,Jumped,1
879,Highest,1
880,Record.,1
881,Difference,1
882,"Pasta,",1
883,Though.,1
884,1967,1
1418,Todays,1
1419,Dinner,1
886,“Purity,1
838,#Collaboration,1
1427,Chandni,1
826,Seasoning.,1
827,If,1
828,Can’T,1
829,"Flavor,",1
1426,"Hatti,",1
830,Dip,1
831,"Sauce,",1
832,Too!,1
833,🍕,1
834,#Papajohns,1
835,#Doritos,1
836,#Coolranch,1
837,#Papadia,1
839,Cacio,1
1420,=,1
840,E,1
841,Pepe,1
842,Going,1
843,Cost,1
1425,Di,1
844,You🍝💵.,1
1424,Kake,1
1423,😋😋,1
1422,Keema,1
849,Twice,1
850,Rate,1
851,Already,1
852,Considerable,1
853,Inflation.,1
885,Decree,1
